pid,task,Sex,n_correct,n,perc
001,car,Female,35,54,64.81481481481481
001,face,Female,35,54,64.81481481481481
002,car,Female,33,54,61.111111111111114
002,face,Female,34,54,62.96296296296296
003,car,Female,29,54,53.70370370370371
003,face,Female,40,54,74.07407407407408
004,car,Female,28,54,51.85185185185185
004,face,Female,38,54,70.37037037037037
006,car,Male,39,54,72.22222222222221
006,face,Male,28,54,51.85185185185185
007,car,Female,33,54,61.111111111111114
007,face,Female,42,54,77.77777777777779
008,car,Male,25,54,46.2962962962963
008,face,Male,34,54,62.96296296296296
009,car,Male,33,54,61.111111111111114
009,face,Male,26,54,48.148148148148145
010,car,Male,23,54,42.592592592592595
010,face,Male,52,54,96.29629629629629
011,car,Male,35,54,64.81481481481481
011,face,Male,47,54,87.03703703703704
012,car,Male,38,54,70.37037037037037
012,face,Male,29,54,53.70370370370371
013,car,Male,31,54,57.407407407407405
013,face,Male,22,54,40.74074074074074
014,car,Male,27,54,50
014,face,Male,31,54,57.407407407407405
015,car,Male,29,54,53.70370370370371
015,face,Male,28,54,51.85185185185185
016,car,Female,27,54,50
016,face,Female,26,54,48.148148148148145
018,car,Male,21,54,38.88888888888889
018,face,Male,26,54,48.148148148148145
020,car,Female,25,54,46.2962962962963
020,face,Female,32,54,59.25925925925925
021,car,Female,26,54,48.148148148148145
021,face,Female,24,54,44.44444444444444
022,car,Female,25,54,46.2962962962963
022,face,Female,31,54,57.407407407407405
024,car,Male,40,54,74.07407407407408
024,face,Male,40,54,74.07407407407408
025,car,Female,35,54,64.81481481481481
025,face,Female,51,54,94.44444444444444
026,car,Female,34,54,62.96296296296296
026,face,Female,36,54,66.66666666666666
027,car,Female,27,54,50
027,face,Female,36,54,66.66666666666666
028,car,Female,25,54,46.2962962962963
028,face,Female,26,54,48.148148148148145
029,car,Male,42,54,77.77777777777779
029,face,Male,29,54,53.70370370370371
030,car,Female,24,54,44.44444444444444
030,face,Female,32,54,59.25925925925925
031,car,Female,41,54,75.92592592592592
031,face,Female,28,54,51.85185185185185
033,car,Female,29,54,53.70370370370371
033,face,Female,19,54,35.18518518518518
034,car,Female,33,54,61.111111111111114
034,face,Female,45,54,83.33333333333334
036,car,Male,32,54,59.25925925925925
036,face,Male,38,54,70.37037037037037
037,car,Male,37,54,68.51851851851852
037,face,Male,29,54,53.70370370370371
039,car,Female,37,54,68.51851851851852
039,face,Female,51,54,94.44444444444444
040,car,Female,34,54,62.96296296296296
040,face,Female,43,54,79.62962962962963
041,car,Female,31,54,57.407407407407405
041,face,Female,35,54,64.81481481481481
042,car,Female,34,54,62.96296296296296
042,face,Female,40,54,74.07407407407408
043,car,Female,29,54,53.70370370370371
043,face,Female,24,54,44.44444444444444
044,car,Male,26,54,48.148148148148145
044,face,Male,15,54,27.77777777777778
046,car,Male,18,54,33.33333333333333
046,face,Male,26,54,48.148148148148145
047,car,Female,33,54,61.111111111111114
047,face,Female,21,54,38.88888888888889
048,car,Male,30,54,55.55555555555556
048,face,Male,41,54,75.92592592592592
049,car,Female,27,54,50
049,face,Female,44,54,81.48148148148148
050,car,Female,39,54,72.22222222222221
050,face,Female,53,54,98.14814814814815
051,car,Female,31,54,57.407407407407405
051,face,Female,35,54,64.81481481481481
052,car,Male,38,54,70.37037037037037
052,face,Male,29,54,53.70370370370371
053,car,Male,39,54,72.22222222222221
053,face,Male,34,54,62.96296296296296
054,car,Female,28,54,51.85185185185185
054,face,Female,29,54,53.70370370370371
055,car,Female,35,54,64.81481481481481
055,face,Female,25,54,46.2962962962963
056,car,Male,42,54,77.77777777777779
056,face,Male,49,54,90.74074074074075
058,car,Female,43,54,79.62962962962963
058,face,Female,25,54,46.2962962962963
059,car,Female,31,54,57.407407407407405
059,face,Female,43,54,79.62962962962963
060,car,Female,24,54,44.44444444444444
060,face,Female,25,54,46.2962962962963
061,car,Female,33,54,61.111111111111114
061,face,Female,37,54,68.51851851851852
062,car,Female,27,54,50
062,face,Female,40,54,74.07407407407408
063,car,Female,29,54,53.70370370370371
063,face,Female,40,54,74.07407407407408
064,car,Female,22,54,40.74074074074074
064,face,Female,32,54,59.25925925925925
065,car,Female,25,54,46.2962962962963
065,face,Female,34,54,62.96296296296296
067,car,Male,33,54,61.111111111111114
067,face,Male,42,54,77.77777777777779
068,car,Male,43,54,79.62962962962963
068,face,Male,31,54,57.407407407407405
069,car,Female,19,54,35.18518518518518
069,face,Female,36,54,66.66666666666666
070,car,Female,46,54,85.18518518518519
070,face,Female,53,54,98.14814814814815
072,car,Female,23,54,42.592592592592595
072,face,Female,45,54,83.33333333333334
073,car,Male,40,54,74.07407407407408
073,face,Male,52,54,96.29629629629629
074,car,Male,28,54,51.85185185185185
074,face,Male,32,54,59.25925925925925
075,car,Male,27,54,50
075,face,Male,22,54,40.74074074074074
076,car,Female,28,54,51.85185185185185
076,face,Female,33,54,61.111111111111114
077,car,Male,48,54,88.88888888888889
077,face,Male,29,54,53.70370370370371
078,car,Female,33,54,61.111111111111114
078,face,Female,38,54,70.37037037037037
079,car,Male,31,54,57.407407407407405
079,face,Male,51,54,94.44444444444444
080,car,Male,22,54,40.74074074074074
080,face,Male,39,54,72.22222222222221
081,car,Female,36,54,66.66666666666666
081,face,Female,37,54,68.51851851851852
082,car,Female,41,54,75.92592592592592
